Department or Agency Name,Component Name,Policy Integration Factor Outcome,Acquisition Factor Outcome,Testing and Remediation Factor Outcome,q1componentsize,q2aacpro,q2bproc,q2cconform,q2dremed,q2etrain,q3programs,q4reside,q4aifno,q5fte,q6fte,q7track,q8estimated,q9hrsper,q9apt,q10resource,q11ict,q12policy,q13aICT,q13bICT,q13cICT,q13dICT,q13eICT,q13fICT,q13gICT,q13hICT,q13iICT,q14mandatory,q15mandatory,q16rolespecific,q16aother,q17afund,q17bfund,q17cfund,q18aundue,q18bundue,q18cundue,q19abest,q19best,q19cbest,q20,q21,q22,q23,q24,q25,q26grc,q27consult,q28ahardware,q28bhardware,q28chardware,q28dhardware,q28ehardware,q28fhardware,q29asoftware,q29bsoftware,q29csoftware,q29dsoftware,q29esoftware,q29fsoftware,q30aelec,q30belec,q30celec,q30delec,q30eelec,q30felec,q30gelec,q31aweb,q31bweb,q31cweb,q31dweb,q31eweb,q31fweb,q31gweb,q32aintern,q32bintern,q32cintern,q32dintern,q32eintern,q32fintern,q32gintern,q33,q34,q35,q36
Department of Agriculture,Agricultural Marketing Service,High,Very High,High,"Medium Agencies (1,000-9,999 employees)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a,0.5,,No,,Part time - COMPONENT Section 508 program manager has additional duties and works less than 40 hours per week supporting the agency-wide Section 508 program ,20,"Assist acquisition officials to prepare Section 508 language in ICT contracts,Assist acquisition officials to evaluate Section 508 conformance prior to or after ICT purchase,Assist developers in creating web content or software that complies with Section 508,Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content,Evaluate and/or remediate software,Evaluate and/or remediate hardware,Provide training,Provide alternate formats",Yes,"Publicly available ,Includes authorities, roles and responsibilities, and expectations,Includes documented processes and procedures for Section 508 conformance testing,Includes documented processes and procedures for Section 508 issues and complaints",Mostly integrated,Mostly integrated,Mostly integrated,Mostly integrated,Mostly integrated,Mostly integrated,Mostly integrated,N/A - Component does not perform or have policies related to this function,Mostly integrated,No,Other frequency not listed,None of Above,n/a,No,0,No,No,0,No,No,0,No,Often (51-90%),Almost always (+90%),Almost always (+90%),Almost always (+90%),Almost always (+90%),Almost always (+90%),No,No,Yes,Yes,Yes,Often (51-90%),No,Sometimes (11-50%),Yes,Yes,Yes,Often (51-90%),No,Almost always (+90%),Yes,Yes,Yes,Often (51-90%),No,Almost always (+90%),Almost always (+90%),Yes,Yes,Yes,Often (51-90%),No,Almost always (+90%),Almost always (+90%),Yes,Yes,Yes,Often (51-90%),No,Almost always (+90%),Almost always (+90%),,,,
Department of Agriculture,Agricultural Research Service,Low,Very High,Moderate,"Medium Agencies (1,000-9,999 employees)",Yes,Yes,Yes,Yes,Yes,Yes,No,REE Mission Area and its 4 agencies have a Section 508 Program,0.25,0,No,,Part time - COMPONENT Section 508 program manager has additional duties and works less than 40 hours per week supporting the agency-wide Section 508 program ,20,"Assist acquisition officials to prepare Section 508 language in ICT contracts,Assist acquisition officials to evaluate Section 508 conformance prior to or after ICT purchase,Assist developers in creating web content or software that complies with Section 508,Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content",Yes,"Publicly available ,Includes authorities, roles and responsibilities, and expectations",Somewhat integrated,Somewhat integrated,Somewhat integrated,Somewhat integrated,Somewhat integrated,Somewhat integrated,Somewhat integrated,Somewhat integrated,Somewhat integrated,No,Other frequency not listed,"Acquisition professionals,Developers,Document authors,Testers,Web Content Managers",n/a,No,0,No,No,0,No,No,0,No,Sometimes (11-50%),Almost always (+90%),Almost always (+90%),Almost always (+90%),Almost always (+90%),Almost always (+90%),No,No,Yes,Yes,No,Often (51-90%),No,Almost always (+90%),Yes,Yes,No,Almost always (+90%),No,Almost always (+90%),Yes,Yes,No,Almost always (+90%),No,Almost always (+90%),Almost always (+90%),Yes,Yes,No,Almost always (+90%),No,Almost always (+90%),Almost always (+90%),Yes,Yes,No,Almost always (+90%),No,Almost always (+90%),Almost always (+90%),40,Acquisition of Section 508 Accessibility Tool Set (Deque),We had a dedicated Section 508 Program Manager until January of this year.  The position is currently gapped.  It is unclear if/when the position will be filled again due to hiring freeze and changes in overall Department Structure.,We had a dedicated Section 508 Program Manager until January of this year.  The position is currently gapped.  It is unclear if/when the position will be filled again due to hiring freeze and changes in overall Department Structure.
Department of Agriculture,Animal and Plant Health Inspection Service,High,Very High,High,"Medium Agencies (1,000-9,999 employees)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a,0.5,,No,,Part time - COMPONENT Section 508 program manager has additional duties and works less than 40 hours per week supporting the agency-wide Section 508 program ,25,"Assist acquisition officials to prepare Section 508 language in ICT contracts,Assist acquisition officials to evaluate Section 508 conformance prior to or after ICT purchase,Assist developers in creating web content or software that complies with Section 508,Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content,Evaluate and/or remediate software,Evaluate and/or remediate hardware,Provide training,Provide alternate formats",No,"Publicly available ,Includes authorities, roles and responsibilities, and expectations",Mostly integrated,Mostly integrated,Mostly integrated,Mostly integrated,Mostly integrated,Mostly integrated,Mostly integrated,N/A - Component does not perform or have policies related to this function,Mostly integrated,No,Other frequency not listed,None of Above,n/a,No,0,No,No,0,No,No,0,No,Often (51-90%),Almost always (+90%),Almost always (+90%),Almost always (+90%),Almost always (+90%),Almost always (+90%),No,No,Yes,Yes,Yes,Often (51-90%),No,Sometimes (11-50%),Yes,Yes,Yes,Often (51-90%),No,Almost always (+90%),Yes,Yes,Yes,Often (51-90%),No,Almost always (+90%),Almost always (+90%),Yes,Yes,Yes,Often (51-90%),No,Almost always (+90%),Almost always (+90%),Yes,Yes,Yes,Often (51-90%),No,Almost always (+90%),Almost always (+90%),,,,
Department of Agriculture,Economic Research Service,Moderate,Very High,Low,Small Agencies (100-999 employees),Yes,Yes,Yes,Yes,Yes,Yes,No,Information Services Division (ISD),1,0,No,,Part time - COMPONENT Section 508 program manager has additional duties and works less than 40 hours per week supporting the agency-wide Section 508 program ,25,"Assist acquisition officials to prepare Section 508 language in ICT contracts,Assist acquisition officials to evaluate Section 508 conformance prior to or after ICT purchase,Assist developers in creating web content or software that complies with Section 508,Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content,Evaluate and/or remediate software,Evaluate and/or remediate hardware,Provide training,Provide alternate formats",No,"Publicly available ,Includes authorities, roles and responsibilities, and expectations",Somewhat integrated,Not integrated,Not integrated,Fully integrated,Mostly integrated,Not integrated,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,Yes,Other frequency not listed,Other ,"ERS does not require additional mandatory training beyond an annual awareness course. However, there are documented requirements and processes specific to each role. It's incumbent on the individuals within each role to ensure they are capable of meeting those standards. The agency provides additional resources and training opportunities.",No,0,No,No,0,No,No,0,No,Almost always (+90%),Almost always (+90%),Almost always (+90%),Almost always (+90%),Almost always (+90%),Almost always (+90%),No,N/A - COMPONENT does not have digital services,No,No,No,Often (51-90%),No,Never (0%),Yes,No,No,Often (51-90%),No,Almost always (+90%),Yes,No,No,Often (51-90%),No,Almost always (+90%),Often (51-90%),Yes,No,No,Often (51-90%),No,Almost always (+90%),Often (51-90%),Yes,No,No,Often (51-90%),Yes,Often (51-90%),Almost always (+90%),,"Over the past year, we dedicated a Section 508 coordinator, developed an action plan to increase awareness and build a community of practice, revised our internal training, and developed an open-session training to provide guidance of Excel accessibility practices. The agency has also transitioned  to the broader REE Deque contract and distributed some of the available licenses to developers for the web tools. Progress has been delayed but steady despite reduction in staffing and ERS has seen several critical gains as the Section 508 program develops. Despite the slower pace, the agency remains dedicated to major initiatives, such as a push for an HTML first approach to web content that will greatly improve long-term accessibility efforts.","It has been a year of transformation across the organization with staffing changes, the assignment of a 508 coordinator, establishment of a 508 program, and the website migration to Drupal. The major goals of the Section 508 Program at ERS have been delayed due to staffing challenges but program efforts are ongoing. Department level training offered live and on AgLearn would benefit the agency. Coordinator specific training would help the agency program evolve and staff focused training would help increase 508 compliance and lessen the burden on agency web staff. ",
Department of Agriculture,Executive Operations,High,Not Applicable,Not Applicable,Very Small Agencies (<100 employees),No,No,No,No,No,Yes,Yes,,0.5,,No,,Part time - COMPONENT Section 508 program manager has additional duties and works less than 40 hours per week supporting the agency-wide Section 508 program ,15,"Assist acquisition officials to prepare Section 508 language in ICT contracts,Assist acquisition officials to evaluate Section 508 conformance prior to or after ICT purchase,Assist developers in creating web content or software that complies with Section 508,Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content,Evaluate and/or remediate software,Evaluate and/or remediate hardware,Provide training,Provide alternate formats",Yes,"Publicly available ,Includes authorities, roles and responsibilities, and expectations,Includes documented processes and procedures for Section 508 conformance testing",Mostly integrated,Mostly integrated,Mostly integrated,Mostly integrated,Mostly integrated,Mostly integrated,Mostly integrated,Mostly integrated,Mostly integrated,No,Other frequency not listed,Testers,n/a,Yes,0,Yes,Yes,0,Yes,Yes,0,Yes,Often (51-90%),Often (51-90%),Often (51-90%),Often (51-90%),Often (51-90%),Often (51-90%),Yes,Yes,Yes,No,Yes,Often (51-90%),Yes,Often (51-90%),Yes,No,Yes,Often (51-90%),Yes,Often (51-90%),Yes,No,Yes,Often (51-90%),Yes,Often (51-90%),Often (51-90%),Yes,No,Yes,Often (51-90%),Yes,Often (51-90%),Often (51-90%),Yes,No,Yes,Often (51-90%),Yes,Often (51-90%),Often (51-90%),,,resources,
Department of Agriculture,Farm Production and Conservation,Moderate,Very High,Very High,"Medium Agencies (1,000-9,999 employees)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,,2,2,No,,Full time - COMPONENT Section 508 program manager works 40 hours per week fully dedicated to supporting the agency-wide Section 508 program,,"Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content,Evaluate and/or remediate software,Evaluate and/or remediate hardware,Provide training,Provide alternate formats",Yes,"Publicly available ,Includes authorities, roles and responsibilities, and expectations,Includes documented processes and procedures for Section 508 conformance testing,Includes documented processes and procedures for Section 508 issues and complaints",Mostly integrated,Mostly integrated,Not integrated,Fully integrated,Fully integrated,Not integrated,Somewhat integrated,Fully integrated,Not integrated,No,Other frequency not listed,"Acquisition professionals,Developers,Document authors,Testers",N/A,Yes,0,Yes,No,0,Yes,Yes,0,Yes,Often (51-90%),Often (51-90%),Often (51-90%),N/A-Component does not award contracts,Almost always (+90%),Almost always (+90%),No,No,Yes,Yes,Yes,Almost always (+90%),No,Almost always (+90%),Yes,Yes,Yes,Almost always (+90%),No,Almost always (+90%),Yes,Yes,Yes,Almost always (+90%),No,Almost always (+90%),Almost always (+90%),Yes,Yes,Yes,Almost always (+90%),No,Almost always (+90%),Almost always (+90%),Yes,Yes,Yes,Almost always (+90%),No,Almost always (+90%),Almost always (+90%),30,"Not sure, I am just taking over 508",,No
Department of Agriculture,Farm Service Agency,High,High,High,"Large Agencies (10,000-74,999 employees)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a,2,2,No,,Part time - COMPONENT Section 508 program manager has additional duties and works less than 40 hours per week supporting the agency-wide Section 508 program ,25,"Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content,Evaluate and/or remediate software,Evaluate and/or remediate hardware,Provide training",Yes,"Publicly available ,Includes authorities, roles and responsibilities, and expectations,Includes documented processes and procedures for Section 508 conformance testing",Mostly integrated,Mostly integrated,Mostly integrated,Mostly integrated,Mostly integrated,Mostly integrated,Mostly integrated,Mostly integrated,Mostly integrated,Yes,Annually,"Acquisition professionals,Developers,Document authors,Testers,Web Content Managers",n/a,No,0,No,No,0,No,No,0,No,Often (51-90%),Often (51-90%),Often (51-90%),Often (51-90%),Often (51-90%),Often (51-90%),Yes,No,Yes,Yes,Yes,Often (51-90%),No,Often (51-90%),Yes,Yes,Yes,Often (51-90%),Yes,Often (51-90%),Yes,Yes,Yes,Often (51-90%),No,Often (51-90%),Often (51-90%),Yes,Yes,Yes,Often (51-90%),No,Often (51-90%),Often (51-90%),Yes,Yes,Yes,Often (51-90%),No,Often (51-90%),Often (51-90%),20,n/a,n/a,n/a
Department of Agriculture,Food and Nutrition Service,Very High,Very High,Very High,"Medium Agencies (1,000-9,999 employees)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,,1.5,,Yes,206783,Full time - COMPONENT Section 508 program manager works 40 hours per week fully dedicated to supporting the agency-wide Section 508 program,40,"Assist acquisition officials to prepare Section 508 language in ICT contracts,Assist acquisition officials to evaluate Section 508 conformance prior to or after ICT purchase,Assist developers in creating web content or software that complies with Section 508,Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content,Evaluate and/or remediate software,Evaluate and/or remediate hardware,Provide training,Provide alternate formats",Yes,"Includes authorities, roles and responsibilities, and expectations,Includes documented processes and procedures for Section 508 conformance testing,Includes documented processes and procedures for Section 508 issues and complaints",Fully integrated,Fully integrated,Fully integrated,Fully integrated,Fully integrated,Fully integrated,Fully integrated,Fully integrated,N/A - Component does not perform or have policies related to this function,Yes,Annually,"Acquisition professionals,Developers,Document authors,Testers,Web Content Managers",,No,0,No,No,0,No,No,0,No,Almost always (+90%),Almost always (+90%),Almost always (+90%),Almost always (+90%),Almost always (+90%),Almost always (+90%),Yes,No,Yes,Yes,Yes,Almost always (+90%),Yes,Almost always (+90%),Yes,Yes,Yes,Almost always (+90%),No,Almost always (+90%),Yes,Yes,Yes,Almost always (+90%),No,Almost always (+90%),Almost always (+90%),Yes,Yes,Yes,Almost always (+90%),No,Almost always (+90%),Almost always (+90%),Yes,Yes,Yes,Almost always (+90%),No,Almost always (+90%),Almost always (+90%),,,,
Department of Agriculture,Food Safety and Inspection Service,Very High,Very High,Very High,"Medium Agencies (1,000-9,999 employees)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,n /a,1.5,,No,,Part time - COMPONENT Section 508 program manager has additional duties and works less than 40 hours per week supporting the agency-wide Section 508 program ,20,"Assist acquisition officials to prepare Section 508 language in ICT contracts,Assist acquisition officials to evaluate Section 508 conformance prior to or after ICT purchase,Assist developers in creating web content or software that complies with Section 508,Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content,Evaluate and/or remediate software,Evaluate and/or remediate hardware,Provide training,Provide alternate formats",Yes,"Publicly available ,Includes authorities, roles and responsibilities, and expectations",Fully integrated,Fully integrated,Fully integrated,Fully integrated,Fully integrated,Fully integrated,Fully integrated,Fully integrated,Fully integrated,Yes,Other frequency not listed,"Acquisition professionals,Developers,Document authors,Testers,Web Content Managers",n/a,Yes,0,Yes,Yes,0,Yes,Yes,0,Yes,Almost always (+90%),Almost always (+90%),Almost always (+90%),Almost always (+90%),Sometimes (11-50%),Sometimes (11-50%),No,Yes,Yes,Yes,Yes,Almost always (+90%),Yes,Almost always (+90%),Yes,Yes,Yes,Almost always (+90%),Yes,Almost always (+90%),Yes,Yes,Yes,Often (51-90%),Yes,Almost always (+90%),Almost always (+90%),Yes,Yes,Yes,Almost always (+90%),Yes,Almost always (+90%),Almost always (+90%),Yes,Yes,Yes,Almost always (+90%),Yes,Almost always (+90%),Almost always (+90%),160,,,
Department of Agriculture,Foreign Agricultural Service,Very High,Not Applicable,Moderate,Small Agencies (100-999 employees),No,Yes,Yes,Yes,Yes,Yes,Yes,N/A,1,,Yes,200000,Part time - COMPONENT Section 508 program manager has additional duties and works less than 40 hours per week supporting the agency-wide Section 508 program ,5,"Assist developers in creating web content or software that complies with Section 508,Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content,Evaluate and/or remediate software,Evaluate and/or remediate hardware,Provide training,Provide alternate formats",No,None of the above,N/A - Component does not perform or have policies related to this function,Fully integrated,Fully integrated,Fully integrated,N/A - Component does not perform or have policies related to this function,Fully integrated,Fully integrated,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,Yes,Annually,None of Above,N/A,No,0,No,No,0,No,No,0,No,Almost always (+90%),Almost always (+90%),Almost always (+90%),Almost always (+90%),Almost always (+90%),Almost always (+90%),No,N/A - COMPONENT does not have digital services,Yes,Yes,No,Often (51-90%),No,Almost always (+90%),Yes,Yes,No,Often (51-90%),No,Almost always (+90%),Yes,Yes,No,Often (51-90%),No,Almost always (+90%),Almost always (+90%),Yes,Yes,No,Often (51-90%),No,Almost always (+90%),Almost always (+90%),Yes,Yes,No,Often (51-90%),No,Almost always (+90%),Almost always (+90%),,,,
Department of Agriculture,Forest Service,Moderate,Very High,Moderate,"Large Agencies (10,000-74,999 employees)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,,1.5,,No,,Full time - COMPONENT Section 508 program manager works 40 hours per week fully dedicated to supporting the agency-wide Section 508 program,,"Assist acquisition officials to prepare Section 508 language in ICT contracts,Assist acquisition officials to evaluate Section 508 conformance prior to or after ICT purchase,Assist developers in creating web content or software that complies with Section 508,Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content,Evaluate and/or remediate software,Evaluate and/or remediate hardware,Provide training,Provide alternate formats",Yes,"Publicly available ,Includes authorities, roles and responsibilities, and expectations,Includes documented processes and procedures for Section 508 conformance testing,Includes documented processes and procedures for Section 508 issues and complaints",Moderately integrated,Moderately integrated,Moderately integrated,Moderately integrated,Moderately integrated,Moderately integrated,Moderately integrated,Moderately integrated,Moderately integrated,Yes,Annually,Testers,,No,0,No,No,0,No,No,0,No,Often (51-90%),Often (51-90%),Often (51-90%),Often (51-90%),Almost always (+90%),Almost always (+90%),No,No,Yes,No,No,Often (51-90%),Yes,Often (51-90%),Yes,No,No,Often (51-90%),Yes,Often (51-90%),Yes,No,No,Often (51-90%),Yes,Often (51-90%),Often (51-90%),Yes,No,Yes,Often (51-90%),Yes,Often (51-90%),Often (51-90%),Yes,No,No,Often (51-90%),Yes,Often (51-90%),Often (51-90%),,,"reduction in workforce through atrition or DRP
",no
Department of Agriculture,National Agricultural Statistics Service,Moderate,Very High,Low,Small Agencies (100-999 employees),Yes,Yes,Yes,Yes,Yes,Yes,No,REE - NASS - SPBSD- BSB - DDS,1,1,No,,Full time - COMPONENT Section 508 program manager works 40 hours per week fully dedicated to supporting the agency-wide Section 508 program,,"Assist acquisition officials to prepare Section 508 language in ICT contracts,Assist acquisition officials to evaluate Section 508 conformance prior to or after ICT purchase,Assist developers in creating web content or software that complies with Section 508,Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content,Evaluate and/or remediate software,Provide training,Provide alternate formats",No,,Somewhat integrated,Somewhat integrated,Not integrated,Mostly integrated,Not integrated,Not integrated,Fully integrated,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,No,,Other ,"NASS does not require additional mandatory training beyond an annual awareness course. However, there are documented requirements and processes specific to each role. It's incumbent on the individuals within each role to ensure they are capable of meeting those standards. The agency provides additional resources and training opportunities.",No,0,No,No,0,No,No,0,No,Almost always (+90%),N/A - Component does not release solicitations,N/A-Component does not award contracts,Almost always (+90%),Almost always (+90%),Sometimes (11-50%),No,No,No,No,No,,No,Never (0%),Yes,No,No,,No,Almost always (+90%),Yes,Yes,No,,No,Almost always (+90%),Rarely (1-10%),Yes,Yes,No,,Yes,Almost always (+90%),Almost always (+90%),No,No,No,,N/A- COMPONENT does not have internal web pages,Almost always (+90%),Sometimes (11-50%),8,"Periodic, ad-hoc, and weekly accessibility scans on NASS.gov are conducted and then coordinated with developers to resolve issues, and launched an application testing initiative to evaluate compliance. We also expanded training on accessibility tools and shared weekly insights to promote Section 508 awareness across teams.",,#33 is Contractor work to gather as much details as per date. 
Department of Agriculture,National Institute of Food and Agriculture,Moderate,Very High,Moderate,Small Agencies (100-999 employees),Yes,Yes,Yes,Yes,Yes,Yes,No,Information Services Division,1,1,No,,Full time - COMPONENT Section 508 program manager works 40 hours per week fully dedicated to supporting the agency-wide Section 508 program,40,"Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content,Evaluate and/or remediate software,Provide training,Provide alternate formats",No,,Somewhat integrated,Not integrated,Not integrated,Fully integrated,Mostly integrated,Not integrated,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,Yes,Annually,Other ,"NIFA does not require additional mandatory training beyond an annual awareness course. However, there are documented requirements and processes specific to each role. It's incumbent on the individuals within each role to ensure they are capable of meeting those standards. The agency provides additional resources and training opportunities.",No,0,No,No,0,No,No,0,No,Almost always (+90%),Almost always (+90%),Almost always (+90%),Almost always (+90%),Almost always (+90%),Almost always (+90%),No,N/A - COMPONENT does not have digital services,No,No,No,,No,Rarely (1-10%),Yes,No,No,,No,Almost always (+90%),Yes,No,No,,Yes,Almost always (+90%),Often (51-90%),Yes,No,No,,Yes,Often (51-90%),Often (51-90%),N/A- COMPONENT does not have internal web pages,N/A- COMPONENT does not have internal web pages,N/A- COMPONENT does not have internal web pages,,N/A- COMPONENT does not have internal web pages,Never (0%),Never (0%),5,Workflow changes on document life cycle to ensure it routes through the accessibility office for compliance review.,,
Department of Agriculture,Natural Resources Conservation Service ,Moderate,High,High,"Large Agencies (10,000-74,999 employees)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,,2,2,No,10000,Part time - COMPONENT Section 508 program manager has additional duties and works less than 40 hours per week supporting the agency-wide Section 508 program ,,"Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content,Evaluate and/or remediate software,Evaluate and/or remediate hardware,Provide training",Yes,"Publicly available ,Includes documented processes and procedures for Section 508 conformance testing,Includes documented processes and procedures for Section 508 issues and complaints",Moderately integrated,Moderately integrated,Moderately integrated,Moderately integrated,Moderately integrated,Moderately integrated,Mostly integrated,Mostly integrated,Moderately integrated,Yes,Annually,"Acquisition professionals,Developers,Document authors,Testers,Web Content Managers",,No,0,No,No,0,No,No,0,No,Often (51-90%),Often (51-90%),Often (51-90%),Often (51-90%),Often (51-90%),Often (51-90%),Yes,No,Yes,Yes,Yes,Often (51-90%),No,Often (51-90%),Yes,Yes,Yes,Often (51-90%),No,Often (51-90%),Yes,Yes,Yes,Often (51-90%),No,Often (51-90%),Often (51-90%),Yes,Yes,Yes,Often (51-90%),No,Often (51-90%),Often (51-90%),Yes,Yes,Yes,Often (51-90%),No,Often (51-90%),Often (51-90%),20,n/a,n/a,n/a
Department of Agriculture,Office of Chief Financial Officer,Very High,Not Applicable,Very High,Very Small Agencies (<100 employees),No,Yes,Yes,Yes,Yes,Yes,Yes,n/a,1,2,Yes,188516,Part time - COMPONENT Section 508 program manager has additional duties and works less than 40 hours per week supporting the agency-wide Section 508 program ,,"Assist acquisition officials to prepare Section 508 language in ICT contracts,Assist acquisition officials to evaluate Section 508 conformance prior to or after ICT purchase,Assist developers in creating web content or software that complies with Section 508,Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content,Evaluate and/or remediate software,Evaluate and/or remediate hardware,Provide training,Provide alternate formats",Yes,"Publicly available ,Includes authorities, roles and responsibilities, and expectations",Fully integrated,Fully integrated,Fully integrated,Fully integrated,Fully integrated,Fully integrated,Fully integrated,Fully integrated,Fully integrated,Yes,Other frequency not listed,None of Above,n/a,Yes,0,Yes,Yes,0,Yes,Yes,0,Yes,Almost always (+90%),Almost always (+90%),Almost always (+90%),Almost always (+90%),Almost always (+90%),Almost always (+90%),Yes,Yes,Yes,No,Yes,Almost always (+90%),Yes,Almost always (+90%),Yes,No,Yes,Almost always (+90%),Yes,Almost always (+90%),Yes,No,Yes,Almost always (+90%),Yes,Almost always (+90%),Almost always (+90%),Yes,No,Yes,Almost always (+90%),Yes,Almost always (+90%),Almost always (+90%),Yes,No,Yes,Almost always (+90%),Yes,Almost always (+90%),Almost always (+90%),,,,
Department of Agriculture,Office of Chief Information Officer,High,Not Applicable,Not Applicable,Very Small Agencies (<100 employees),No,No,No,No,No,Yes,Yes,n/a,1,,No,,Full time - COMPONENT Section 508 program manager works 40 hours per week fully dedicated to supporting the agency-wide Section 508 program,,"Assist acquisition officials to prepare Section 508 language in ICT contracts,Assist acquisition officials to evaluate Section 508 conformance prior to or after ICT purchase,Assist developers in creating web content or software that complies with Section 508,Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content,Evaluate and/or remediate software,Evaluate and/or remediate hardware,Provide training,Provide alternate formats",Yes,"Publicly available ,Includes authorities, roles and responsibilities, and expectations,Includes documented processes and procedures for Section 508 conformance testing,Includes documented processes and procedures for Section 508 issues and complaints",Mostly integrated,Mostly integrated,Mostly integrated,Mostly integrated,Mostly integrated,Mostly integrated,Mostly integrated,Mostly integrated,Mostly integrated,No,Other frequency not listed,"Acquisition professionals,Developers,Document authors,Testers,Web Content Managers",n /a,Yes,0,Yes,Yes,0,Yes,Yes,0,Yes,Often (51-90%),Often (51-90%),Often (51-90%),Often (51-90%),Often (51-90%),Often (51-90%),Yes,Yes,Yes,No,Yes,Often (51-90%),Yes,Often (51-90%),Yes,No,Yes,Often (51-90%),Yes,Often (51-90%),Yes,No,Yes,Often (51-90%),Yes,Often (51-90%),Often (51-90%),Yes,No,Yes,Often (51-90%),Yes,Often (51-90%),Often (51-90%),Yes,No,Yes,Often (51-90%),Yes,Often (51-90%),Often (51-90%),,,resources,
Department of Agriculture,Office of Civil Rights,Very High,Very High,High,Very Small Agencies (<100 employees),Yes,Yes,Yes,Yes,Yes,Yes,No,The program resides within the Office of the Secretary for Civil Rights,4,,Yes,32000,Part time - COMPONENT Section 508 program manager has additional duties and works less than 40 hours per week supporting the agency-wide Section 508 program ,20,"Assist acquisition officials to prepare Section 508 language in ICT contracts,Assist acquisition officials to evaluate Section 508 conformance prior to or after ICT purchase,Assist developers in creating web content or software that complies with Section 508,Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content,Evaluate and/or remediate software,Provide training,Provide alternate formats",Yes,"Publicly available ,Includes authorities, roles and responsibilities, and expectations,Includes documented processes and procedures for Section 508 conformance testing,Includes documented processes and procedures for Section 508 issues and complaints",Fully integrated,Fully integrated,Fully integrated,Fully integrated,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,Yes,Other frequency not listed,"Developers,Document authors,Testers,Web Content Managers",N/A,No,0,No,No,0,No,No,0,No,Almost always (+90%),Almost always (+90%),Almost always (+90%),Almost always (+90%),Almost always (+90%),Almost always (+90%),Yes,Yes,No,No,No,Almost always (+90%),No,Never (0%),Yes,Yes,Yes,Almost always (+90%),Yes,Almost always (+90%),Yes,Yes,Yes,Almost always (+90%),Yes,Almost always (+90%),Almost always (+90%),Yes,Yes,Yes,Almost always (+90%),Yes,Almost always (+90%),Almost always (+90%),Yes,Yes,Yes,Almost always (+90%),Yes,Almost always (+90%),Almost always (+90%),30,OASCR has implemented training sessions for all divisions.,None,No
